program_base,program,mode,approx_type,N,dist,K,tempo_mean,tempo_std,ipc_mean,cache_miss_rate_mean,cache_misses_mean,checksum_mean,error_abs_mean,error_rel_mean,rmse_mean,error_max_mean,parameter_type,kernel_size,block_size,tempo_exact_mean,speedup_vs_exact
conv_linear,conv_linear,exact,none,2048,2,5,0.0891994,0.0011627291840990105,2.240876284117531,0.5660106880416946,2983945.3,4178582.7965974,0.0,0.0,0.0,0.0,K,5.0,,0.0891994,1.0
conv_linear,conv_linear,exact,none,2048,2,7,0.1601634,0.0009301853100920822,2.2674146526394123,0.4176580461717557,2948800.3,4170434.0024392,0.0,0.0,0.0,0.0,K,7.0,,0.1601634,1.0
conv_linear,conv_linear_approx,approx,float,512,0,3,0.0052575,0.0007389748529776459,1.9563653219939288,0.3189663135769433,129399.3,130081.0929852,1.94476e-08,3.87999e-08,2.50487e-08,1.331905e-07,K,3.0,,0.0043309,0.8237565382786496
conv_linear,conv_linear_approx,approx,float,512,0,5,0.0070299,0.0006965648171164291,2.0980656344353594,0.3161659087147286,131093.8,129063.5772781,2.94297e-08,5.8644700000000004e-08,3.76816e-08,2.027675e-07,K,5.0,,0.0063694,0.9060441827053016
conv_linear,conv_linear_approx,approx,float,512,0,7,0.0117384,0.0010542767083540152,2.3167404720849274,0.31998820369605385,133733.0,128050.3489523,3.9052100000000003e-08,7.78423e-08,4.9974599999999994e-08,2.611558e-07,K,7.0,,0.0105232,0.8964765215020787
conv_linear,conv_linear_approx,approx,float,512,1,3,0.0042975,0.00024063446229591565,2.0359763258743717,0.3231877616973596,134133.5,-123.77265019999997,1.89889e-08,4.878473000000001e-07,2.59846e-08,2.3985809999999997e-07,K,3.0,,0.0032836,0.7640721349621873
conv_linear,conv_linear_approx,approx,float,512,1,5,0.006427199999999999,0.00047329783904476527,2.11306489444718,0.31766830465215656,134438.9,-129.1899277,1.69344e-08,6.013779e-07,2.33269e-08,2.2306989999999998e-07,K,5.0,,0.0057361999999999995,0.8924881752551656
conv_linear,conv_linear_approx,approx,float,512,1,7,0.011164299999999999,1.0044899203078002e-05,2.2435195145904756,0.310501026796805,133861.3,-135.1654486,1.54399e-08,8.857777000000001e-07,2.16162e-08,2.1643779999999998e-07,K,7.0,,0.0101189,0.9063622439382677
conv_linear,conv_linear_approx,approx,float,512,2,3,0.0048253,0.0002646704659676928,2.1588287762645324,0.3201058904989532,129716.3,260308.3801341,3.97003e-08,3.96756e-08,5.3813700000000005e-08,5.558719e-07,K,3.0,,0.0035909999999999996,0.7442024330093464
conv_linear,conv_linear_approx,approx,float,512,2,5,0.0069172,0.0005236966467123667,2.2574035238229184,0.31422984980875096,130809.9,258278.5395743,6.05382e-08,6.03147e-08,7.919259999999999e-08,5.746869e-07,K,5.0,,0.006239,0.9019545480830393
conv_linear,conv_linear_approx,approx,float,512,2,7,0.0113467,0.000337916179613295,2.390999853339175,0.3127190695388613,132382.2,256252.95621369997,8.0256e-08,7.98517e-08,1.0404709999999998e-07,6.408758000000001e-07,K,7.0,,0.0102655,0.9047123833361242
